step,ΔE,ΔS,left,right,E
181,4.820418408896444,-1.987633992426713,76,24,-134.78536683837774
182,3.9523953108427463,-1.987633992426713,76,24,-134.78536683837774
183,-1.8276276059786483,1.7719168810934915,78,22,-136.6129944443564
184,0.5582051897761744,-1.7719168810934915,78,22,-136.6129944443564
185,1.789428912318499,-1.7719168810934915,78,22,-136.6129944443564
186,9.537256281168027,1.5429734873005077,78,22,-136.6129944443564
187,10.040134443683499,1.5429734873005077,78,22,-136.6129944443564
188,5.434280644022408,1.5429734873005077,78,22,-136.6129944443564
189,-0.2638552151339866,-1.7719168810934915,76,24,-136.87684965949038
190,5.272062207112185,-1.987633992426713,76,24,-136.87684965949038
191,0.6097721000472518,1.7719168810934915,78,22,-136.26707755944312
192,7.250440138713941,1.5429734873005077,78,22,-136.26707755944312
193,-1.1134921714637755,-1.7719168810934915,78,22,-136.26707755944312
194,9.053507568874181,1.5429734873005077,78,22,-136.26707755944312
195,8.988854206075445,-1.7719168810934915,78,22,-136.26707755944312
196,0.8673445297789044,-1.7719168810934915,78,22,-136.26707755944312
197,4.380652125682303,1.5429734873005077,78,22,-136.26707755944312
198,8.47835342885395,1.5429734873005077,78,22,-136.26707755944312
199,3.4254935334538743,1.5429734873005077,78,22,-136.26707755944312
200,1.0175176158916486,-1.7719168810934915,78,22,-136.26707755944312
201,1.7278134137519032,-1.7719168810934915,78,22,-136.26707755944312
202,6.809073190258829,-1.7719168810934915,78,22,-136.26707755944312
203,6.668629222108848,-1.7719168810934915,78,22,-136.26707755944312
204,7.651386481024247,-1.7719168810934915,78,22,-136.26707755944312
205,6.798189761043261,-1.7719168810934915,78,22,-136.26707755944312
206,6.763259924530075,-1.7719168810934915,78,22,-136.26707755944312
207,8.441073949563119,1.5429734873005077,78,22,-136.26707755944312
208,4.00488331612425,1.5429734873005077,78,22,-136.26707755944312
209,0.7296680507639337,1.5429734873005077,80,20,-135.5374095086792
210,-0.857756962599268,-1.5429734873005077,80,20,-135.5374095086792
211,7.597823400968835,-1.5429734873005077,80,20,-135.5374095086792
212,1.6559495135253428,1.2978859341434115,82,18,-133.88145999515385
213,8.598516336494768,-1.2978859341434115,82,18,-133.88145999515385
214,9.593721542099814,1.032810778672141,82,18,-133.88145999515385
